url,length_url,length_hostname,ip,nb_dots,nb_hyphens,nb_at,nb_qm,nb_and,nb_or,nb_eq,nb_underscore,nb_tilde,nb_percent,nb_slash,nb_star,nb_colon,nb_comma,nb_semicolumn,nb_dollar,nb_space,nb_www,nb_com,nb_dslash,http_in_path,https_token,ratio_digits_url,ratio_digits_host,punycode,port,tld_in_path,tld_in_subdomain,abnormal_subdomain,nb_subdomains,prefix_suffix,random_domain,shortening_service,path_extension,nb_redirection,nb_external_redirection,length_words_raw,char_repeat,shortest_words_raw,shortest_word_host,shortest_word_path,longest_words_raw,longest_word_host,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,phish_hints,domain_in_brand,brand_in_subdomain,brand_in_path,suspecious_tld,statistical_report,nb_hyperlinks,ratio_intHyperlinks,ratio_extHyperlinks,ratio_nullHyperlinks,nb_extCSS,ratio_intRedirection,ratio_extRedirection,ratio_intErrors,ratio_extErrors,login_form,external_favicon,links_in_tags,submit_email,ratio_intMedia,ratio_extMedia,sfh,iframe,popup_window,safe_anchor,onmouseover,right_clic,empty_title,domain_in_title,domain_with_copyright,whois_registered_domain,domain_registration_length,domain_age,web_traffic,dns_record,google_index,page_rank,status
https://www.avd.brfbadssecrsavrdskl.my.id/m.id.help.htm,55,33,0,7,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,7,4,1,3,1,19,19,4,5.0,8.333333332999999,2.5,0,0,0,0,0,0,26,0.884615385,0.115384615,0,0,0,0.0,0,0.0,0,1,75.0,0,50.0,50.0,0,0,0,100.0,0,1,0,1,1,0,364,1,0,0,1,0,phishing
http://www.ita30horas.net/,26,18,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0.076923077,0.111111111,0,0,0,0,0,2,0,0,0,0,0,0,2,3,3,3,0,10,10,0,6.5,6.5,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,1,1,0,0,294,70,4299359,0,1,0,phishing
http://www.3g4g.co.uk/Hspa/HSPAE_Pres_0811_Andreas.pdf,54,14,0,4,0,0,0,0,0,0,3,0,0,4,0,1,0,0,0,0,1,0,0,0,1,0.111111111,0.142857143,0,0,0,0,0,3,0,1,0,0,1,0,8,4,3,3,3,7,4,7,4.25,3.5,4.5,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,1,1,1,0,954,5985,269852,0,0,4,legitimate
http://mxtoolbox.com/DnsLookup.aspx,35,13,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,1,0,1,0,3,2,4,9,4,9,9,9,7.333333333,9.0,6.5,0,0,0,0,0,0,76,0.960526316,0.039473684,0,0,0,0.0,0,0.333333333,0,0,92.59259259,0,100.0,0.0,0,0,0,92.30769231,0,0,0,0,0,0,430,5779,5832,0,0,5,legitimate
http://mail.hethartthuiszorg.nl/~u43730p39181/pki-validation,60,24,0,2,1,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,1,0.166666667,0.0,0,0,0,0,0,2,0,0,0,0,0,0,5,1,3,4,3,16,16,13,9.2,10.0,8.666666667000001,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,1,1,0,0,0,667,0,0,1,0,phishing
http://www.williampermuysalon.com/wp-admin/network/Goooo/Gdriveeee/googledrive/,79,26,0,2,1,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,2,1,0,0,0,0,0,8,17,2,3,2,18,18,11,7.5,10.5,6.5,2,0,0,0,0,0,15,0.133333333,0.8666666670000001,0,1,0,0.0,0,0.0,0,1,50.0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,0,0,1358,2295,0,0,1,0,phishing
https://www.npmjs.com/node-red,30,13,0,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,1,0,0,1,0,4,3,3,3,3,5,5,4,3.75,4.0,3.5,1,0,0,0,0,0,50,0.76,0.24,0,0,0,0.583333333,0,0.0,0,0,0.0,0,0.0,100.0,0,0,0,53.33333333,0,0,0,1,0,0,3162,3777,6328,0,0,7,legitimate
http://189.36.52.206/#!/login,29,13,1,3,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0.344827586,0.7692307690000001,0,0,1,1,1,3,0,0,0,0,0,0,10,0,2,2,2,5,3,5,2.7,2.5,2.833333333,1,0,0,0,0,2,10,0.9,0.1,0,0,0,0.0,0,0.0,0,0,83.33333333,0,0.0,0.0,0,0,0,0.0,0,0,0,1,0,1,0,-1,0,1,0,0,phishing
https://uns.ac.id/id/,21,9,0,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,3,2,3,3,2,2.5,3.0,2.0,0,0,0,0,0,0,59,0.644067797,0.3559322029999999,0,0,0,0.238095238,0,0.142857143,0,0,81.81818182,0,100.0,0.0,0,0,0,57.77777778,0,0,0,1,1,0,68,7951,14198,0,0,3,legitimate
https://www.slideshare.net/kshitiz_goel/open-source-revenue-model,65,18,0,2,3,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,8,3,3,3,4,10,10,7,5.75,6.5,5.5,0,0,0,0,0,0,197,0.7005076140000001,0.299492386,0,3,0,0.152542373,0,0.033898305,0,1,58.82352941,0,93.75,6.25,0,0,0,35.9375,0,0,0,1,1,0,984,5224,137,0,0,8,legitimate
https://en.wikipedia.org/wiki/Batting_average,45,16,0,2,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,5,1,2,2,4,9,9,7,5.8,5.5,6.0,0,1,0,0,0,0,265,0.966037736,0.033962264,0,0,0,0.5555555560000001,0,0.0,0,0,100.0,0,100.0,0.0,0,0,0,64.0,0,0,0,0,1,0,904,7131,12,0,0,7,legitimate
http://www.surfacespa.com/au/,29,18,0,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,3,3,2,3,2,10,10,2,5.0,6.5,2.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,1,1,0,0,73,3593,8552690,0,1,0,phishing
http://www.mgn.ru/,18,10,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,1,0,0,0,0,2,3,3,3,0,3,3,0,3.0,3.0,0.0,0,0,0,0,0,0,93,0.8602150540000001,0.139784946,0,1,0,0.307692308,0,0.153846154,1,1,87.09677419,0,77.77777778,22.22222222,0,0,0,33.33333333,0,0,0,1,1,0,341,8067,657137,0,0,3,legitimate
https://www.w3schools.com/jsreF/jsref_obj_date.asp,50,17,0,3,0,0,0,0,0,0,2,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0.02,0.058823529,0,0,0,0,0,3,0,0,0,0,0,0,7,4,3,3,3,9,9,5,4.571428571,6.0,4.0,2,0,0,0,0,0,1294,0.99690881,0.00309119,0,1,0,0.0,0,0.0,0,1,71.42857143,0,100.0,0.0,0,0,1,100.0,0,0,0,1,0,0,1703,7427,193,0,0,7,legitimate
https://www.gamespot.com/genre/adventure/pc/,44,16,0,2,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,1,0,0,0,5,3,2,3,2,9,8,9,5.4,5.5,5.333333333,0,0,0,0,0,0,158,0.601265823,0.398734177,0,1,0,0.063492063,0,0.063492063,0,1,26.08695652,0,3.333333333,96.66666667,0,0,0,46.15384615,0,0,0,0,1,0,173,8957,573,0,0,6,legitimate
https://www.w3schools.com/hTml/html_links.asp,45,17,0,3,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0.022222222,0.058823529,0,0,0,0,0,3,0,0,0,0,0,0,6,4,3,3,3,9,9,5,4.666666667,6.0,4.0,0,0,0,0,0,0,352,0.988636364,0.011363636,0,1,0,0.0,0,0.0,0,1,71.42857143,0,100.0,0.0,0,0,0,100.0,0,0,0,1,0,0,1703,7427,192,0,0,7,legitimate
https://www.skecherstanio.pl/,29,20,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,2,3,3,3,0,13,13,0,8.0,8.0,0.0,0,0,0,0,0,0,124,0.919354839,0.0806451609999999,0,0,0,0.1,0,0.0,0,0,100.0,0,100.0,0.0,0,0,0,0.0,0,0,0,1,0,0,49,317,0,0,0,0,phishing
https://www.computerhope.com/asoftwar.htm,41,20,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,1,0,0,0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,4,3,3,3,3,12,12,8,6.5,7.5,5.5,0,0,0,0,0,0,887,0.990980834,0.009019166,0,0,0,0.0,0,0.0,0,1,0.0,0,100.0,0.0,0,0,0,90.32258065,0,0,0,1,1,0,3479,8048,2615,0,0,6,legitimate
http://trbetasusgiiris2.blogspot.com,36,29,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0.027777778,0.034482759,0,0,0,0,0,2,0,0,1,0,1,0,2,1,8,8,0,16,16,0,12.0,12.0,0.0,0,1,0,0,0,0,14,0.071428571,0.928571429,0,0,0,0.846153846,0,0.615384615,0,1,0.0,0,0.0,0.0,0,0,0,14.28571429,0,0,0,1,0,0,374,7295,0,0,1,5,phishing
http://www.takesaspark.com/wp-active/minx/png/secure/filewords/,63,19,0,2,1,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,2,1,0,0,0,0,0,8,3,2,3,2,11,11,9,5.5,7.0,5.0,1,0,0,0,0,1,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,1,1,0,0,111,255,0,0,1,0,phishing
http://golosavk.vipshop.ru,26,19,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,7,7,0,8,8,0,7.5,7.5,0.0,0,0,0,0,0,0,12,0.0,1.0,0,2,0,0.583333333,0,0.0,0,1,0.0,0,0.0,100.0,0,0,0,0.0,0,0,0,1,0,0,252,7446,0,0,1,1,phishing
http://kodi.wiki/view/Basic_controls,36,9,0,1,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,0,1,0,0,1,0,4,0,4,4,4,8,4,8,5.25,4.0,5.666666667,1,0,0,0,0,0,183,0.967213115,0.032786885,0,0,0,0.333333333,0,0.0,0,1,87.5,0,93.33333333,6.666666667,0,0,0,89.65517241,0,0,0,0,0,0,310,2247,50432,0,0,5,legitimate
http://starpolitics.politicallimit.com/,39,31,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,1,0,0,0,2,1,12,12,0,14,14,0,13.0,13.0,0.0,0,0,0,0,0,0,9,0.5555555560000001,0.444444444,0,0,0,0.0,0,0.0,0,1,50.0,0,0.0,100.0,0,0,0,0.0,0,0,0,1,0,0,149,-1,0,0,1,0,phishing
https://www.secureupdate.appleld.com.duilawyeryork.com/ap/468a8285fe41d75/?cmd=_update&dispatch=468a8285fe41d7559&locale=_US,124,46,1,5,0,0,1,2,0,3,2,0,0,5,0,1,0,0,0,0,1,1,0,0,0,0.193548387,0.0,0,0,0,1,0,3,0,0,0,0,0,0,13,5,2,3,2,17,13,17,7.461538462,7.6,7.375,0,0,0,0,0,0,51,1.0,0.0,0,0,0,0.0,0,0.0,0,0,100.0,0,100.0,0.0,0,0,0,100.0,0,0,0,1,1,0,25,3993,5707171,0,1,0,phishing
https://www.missfiga.com/,25,16,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,2,4,3,3,0,8,8,0,5.5,5.5,0.0,0,0,0,0,0,0,211,0.933649289,0.0663507109999999,0,0,0,0.357142857,0,0.285714286,0,1,82.35294118,0,100.0,0.0,0,0,0,69.69696970000001,0,0,0,0,0,0,880,2041,4297684,0,0,2,legitimate
https://blog.demandmetric.com/2008/08/06/target-market-selection-segmentation-and-positioning,93,21,0,2,5,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0.086021505,0.0,0,0,0,0,0,2,0,0,0,0,0,0,11,1,2,4,2,12,12,12,6.454545455,8.0,6.1111111110000005,0,0,0,0,0,0,48,0.8125,0.1875,0,0,0,0.7777777779999999,0,0.0,0,0,86.66666667,0,0.0,100.0,0,0,0,45.45454545,0,0,0,1,0,0,361,5118,92095,0,0,5,legitimate
https://login.microsoftonline.com/aa687de1-52b4-4b91-9b35-794eba4fd892/oauth2/authorize?client_id=00000003-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code%20id_token&resource=00000003-0000-0ff1-ce00-000000000000&scope=openid&nonce=F8E39448E7F455909658C6541B1D4188B5AF5FF41A82B0C7-76F2FDDAB526860B987CC05525FB5D9EF62A21217264DAAAEC8765DBF0C7B204&redirect_uri=https:%2F%2Fossm-my.sharepoint.com%2F_forms%2Fdefault.aspx&wsucxt=1&cobrandid=11bd8083-87e0-41b5-bb78-0bc43c8a8e8a&client-request-id=be6a829e-c01e-6000-e679-24fcba0302ac,550,25,1,5,24,0,1,9,0,10,7,0,5,5,0,2,0,0,0,1,0,1,0,1,0,0.3527272729999999,0.0,0,0,1,0,0,3,0,0,1,0,0,0,64,146,1,5,1,64,15,64,7.40625,10.0,7.322580645,1,1,0,0,0,0,12,0.333333333,0.666666667,0,0,0,0.0,0,0.25,0,1,33.33333333,0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0,349,6591,30,0,1,4,legitimate
http://fiaya.webout.life/,25,17,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,5,5,0,6,6,0,5.5,5.5,0.0,0,0,0,0,0,2,8,1.0,0.0,0,0,0,0.0,0,0.0,0,0,100.0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,0,1,0,104,63985,0,1,0,phishing
http://www.nobleflash.com/,26,18,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,2,3,3,3,0,10,10,0,6.5,6.5,0.0,0,0,0,0,0,0,14,0.0,1.0,0,0,0,0.285714286,0,0.0,0,1,0.0,0,0.0,100.0,0,0,0,0.0,0,0,0,1,0,0,85,5029,2839278,0,0,3,legitimate
https://www.onlinepianist.com/sheet-music,41,21,0,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,1,0,0,0,4,4,3,3,5,13,13,5,6.5,8.0,5.0,0,0,0,0,0,0,63,0.793650794,0.206349206,0,0,0,0.307692308,0,0.0,0,0,40.0,0,95.45454545,4.545454545,0,0,0,70.0,0,0,0,0,0,0,387,3996,16360,0,0,4,legitimate
http://www.makeuseof.com/tag/6-free-websites-public-domain-images-free-stock-photos/,84,17,0,2,8,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,1,0.011904762,0.0,0,0,0,0,0,2,0,0,0,0,1,0,12,5,1,3,1,9,9,8,5.083333333,6.0,4.9,2,0,0,0,0,0,95,0.4315789470000001,0.568421053,0,1,0,0.222222222,0,0.222222222,1,1,18.75,0,0.0,100.0,0,0,0,60.0,0,0,0,1,0,0,342,5136,1300,0,0,7,legitimate
http://kbagro.co.th/,20,12,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,6,6,0,6,6,0,6.0,6.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,1,1,0,1,0,2208,0,0,0,0,phishing
http://gurpreeth.blogspot.com/,30,22,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,1,0,0,0,2,1,8,8,0,9,9,0,8.5,8.5,0.0,0,1,0,0,0,0,21,0.285714286,0.7142857140000001,0,3,0,0.0,0,0.0,0,1,46.15384615,0,0.0,0.0,0,0,0,0.0,0,0,0,1,0,0,371,7298,0,0,0,5,legitimate
http://prekese.dadeschools.net/-docs/ForTeachers/TeacherHandbook/esy/ESY%20Self-Help%20List.pdf,95,23,0,3,2,0,0,0,0,0,0,0,2,7,0,1,0,0,0,2,0,0,0,0,1,0.042105263,0.0,0,0,0,0,0,3,1,0,0,0,0,0,11,2,3,7,3,15,11,15,6.6363636360000005,9.0,6.1111111110000005,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,1,1,1,0,2430,7431,27573,0,1,5,legitimate
